threshold,p0.5_training_DI,p0.5_test_DI,p1_training_DI,p1_test_DI
10,2.0252846299810248,11.253456221198158,1.257939308398024,1.4402501675228947
20,2.0423456379558806,8.65725806451613,1.156601251594872,1.7345808966861598
30,2.045095457537854,10.160729312762973,1.0893397177419355,1.3041505376344085
40,1.8381181055781746,11.299999999999999,1.1231334149326806,1.4041297935103247
50,1.9474696655815331,8.239599555061178,1.0922787193973635,1.7200215736801103
60,1.9840661485503388,7.689861751152074,1.2342747496552138,1.9649122807017545
70,2.0506044590243606,8.584367245657567,1.353583293782629,1.8133995037220838
80,1.9265232974910393,7.4467741935483875,1.127016129032258,1.8752950432730133
90,1.9825406249312838,9.555040322580645,1.1337401474701243,1.7911547911547911
100,1.7991862830572507,11.308064516129033,1.1941434654438257,1.3950892857142858
